cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.7650362509217175,150.34721070227062,239807.38279899064,NA,36.6866614818573,SCE3,LME-S
GBMT,3,0.4047161206730343,136.46129769222438,228686.21416750547,NA,99.2409725189209,SCE3,LME-S
GBMT,4,0.35159310337325606,83.7316589327473,226659.71121139804,NA,126.94655871391296,SCE3,LME-S
GBMT,5,0.2805358140616187,56.8159267457742,220960.63308499087,NA,140.23496985435486,SCE3,LME-S
KML3D,2,0.18779402130859502,181.3051616371272,NA,NA,0.42735719680786133,SCE3,LME-S
KML3D,3,0.16060980499506286,90.03952581590578,NA,NA,0.5584409236907959,SCE3,LME-S
KML3D,4,0.16844953278051958,73.16528816821345,NA,NA,0.5992271900177002,SCE3,LME-S
KML3D,5,0.1958056896245527,66.33556321745421,NA,NA,0.718348503112793,SCE3,LME-S
flexmix,2,0.5171929824561403,150.21972188726647,248292.65341437783,NA,0.6001486778259277,SCE3,LME-S
flexmix,3,0.355324020011883,132.5096876511693,237181.23635144212,NA,1.5201067924499512,SCE3,LME-S
flexmix,4,0.26119238393584693,98.01999581205077,230030.38920047207,NA,3.4022376537323,SCE3,LME-S
flexmix,5,0.20456054505431245,84.26891033327223,227558.41067380286,NA,3.800016164779663,SCE3,LME-S
