cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.5996597938099004,290.4972495285947,15681.359598430648,NA,66.00249576568604,SCE2,LME-F
GBMT,3,0.38987373857389546,415.3029015712134,11776.845364847171,NA,71.44982194900513,SCE2,LME-F
GBMT,4,0.37642202024683014,346.25919275316465,9644.346234283825,NA,161.98074555397034,SCE2,LME-F
GBMT,5,0.31209376224512453,397.7200182117716,7497.118364771817,NA,172.50124311447144,SCE2,LME-F
KML3D,2,0.2636390094580276,654.4202520386635,NA,NA,0.19045591354370117,SCE2,LME-F
KML3D,3,0.2870006023593581,598.5111242403431,NA,NA,0.23215699195861816,SCE2,LME-F
KML3D,4,0.23252455397101193,551.7878165065484,NA,NA,0.2965378761291504,SCE2,LME-F
KML3D,5,0.2195364074960817,494.7970023237486,NA,NA,0.35381579399108887,SCE2,LME-F
flexmix,2,0.42759330181799954,481.96389310704615,18943.407107990835,NA,0.21993374824523926,SCE2,LME-F
flexmix,3,0.35435606618990984,499.8409931997279,13304.43339679412,NA,0.2642679214477539,SCE2,LME-F
flexmix,4,0.28046990690648144,471.12717000190946,10759.121302021053,NA,0.8957686424255371,SCE2,LME-F
flexmix,5,0.24468559240699075,391.84378759202275,8791.276199562019,NA,1.3873577117919922,SCE2,LME-F
LCMM,2,0.20110343269248873,557.5592594155754,12679.721888875421,NA,13.893471479415894,SCE2,LME-F
LCMM,3,0.22899015342340284,584.8393205127128,12691.70481795493,NA,36.27443718910217,SCE2,LME-F
LCMM,4,0.2586881632462427,601.49922523027,12703.687747048927,NA,89.34625053405762,SCE2,LME-F
LCMM,5,0.3582937198799694,520.5209093603286,12667.521299381211,NA,194.86542963981628,SCE2,LME-F
