cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.40812610048481635,192.60279437476353,22434.846562159742,NA,31.16008496284485,SCE2,MICE-L
GBMT,3,0.2895439210937123,137.06759390755852,21008.78427531231,NA,101.59794235229492,SCE2,MICE-L
GBMT,4,0.20657417353382657,116.86999368514839,20300.914318390827,NA,266.2633640766144,SCE2,MICE-L
GBMT,5,0.21090324019714962,100.92564615936497,19862.596464910093,NA,193.2876491546631,SCE2,MICE-L
KML3D,2,0.196484879005869,226.20770846989248,NA,NA,0.22468066215515137,SCE2,MICE-L
KML3D,3,0.2854650175948765,177.73856977482524,NA,NA,0.22548341751098633,SCE2,MICE-L
KML3D,4,0.2387298068239915,137.09979077184465,NA,NA,0.27768683433532715,SCE2,MICE-L
KML3D,5,0.24771072968691488,113.83119457258174,NA,NA,0.32181668281555176,SCE2,MICE-L
flexmix,2,0.4210665957140499,200.01556836790596,24086.92045752933,NA,0.1888728141784668,SCE2,MICE-L
flexmix,3,0.26246817828408653,144.165744995588,22233.79245162295,NA,0.36965155601501465,SCE2,MICE-L
flexmix,4,0.20344397263913497,123.75050924773497,21257.71099263431,NA,1.3292231559753418,SCE2,MICE-L
flexmix,5,0.19392306747317029,103.69650573105332,20902.09472594854,NA,1.5634708404541016,SCE2,MICE-L
LCMM,2,0.04319859235806371,178.87919913615102,25199.01884362549,NA,16.460533142089844,SCE2,MICE-L
LCMM,3,0.05193268620690427,186.93972683914419,25211.001772718613,NA,36.52197504043579,SCE2,MICE-L
LCMM,4,0.0665416125953336,198.21857784510632,25222.98470181295,NA,60.67025017738342,SCE2,MICE-L
LCMM,5,0.07181339357428201,201.8648796905248,25234.967630906707,NA,323.0483798980713,SCE2,MICE-L
