cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.8276702121004038,140.48133906365945,235428.7793230347,NA,21.88479781150818,SCE3,eCDF-Copula
GBMT,3,0.592913260668263,110.1153584146421,228101.0145589583,NA,78.81449866294861,SCE3,eCDF-Copula
GBMT,4,0.42711347192061144,72.59267226508884,224773.5927245935,NA,104.68010210990906,SCE3,eCDF-Copula
GBMT,5,0.5112628770015994,48.501856712416526,225291.06388360134,NA,159.53386688232422,SCE3,eCDF-Copula
KML3D,2,0.1211996397677165,90.26305228757234,NA,NA,0.3939974308013916,SCE3,eCDF-Copula
KML3D,3,0.28247411297720965,99.20188672462871,NA,NA,0.49107980728149414,SCE3,eCDF-Copula
KML3D,4,0.3397565588381484,72.92769922890393,NA,NA,0.581397533416748,SCE3,eCDF-Copula
KML3D,5,0.21817274691494623,62.11906310717913,NA,NA,0.7160601615905762,SCE3,eCDF-Copula
flexmix,2,0.5539132769794397,125.39964827850874,245084.9121879456,NA,0.48348140716552734,SCE3,eCDF-Copula
flexmix,3,0.39129304005608195,103.78770416458231,234843.31140293975,NA,0.744530200958252,SCE3,eCDF-Copula
flexmix,4,0.38647871592077243,80.01869986135745,229359.25888356395,NA,3.225389242172241,SCE3,eCDF-Copula
flexmix,5,0.33105231431476306,63.82656745264405,227501.20648905623,NA,1.6060292720794678,SCE3,eCDF-Copula
